鄉鎮市區,土地移轉總面積平方公尺,建物移轉總面積平方公尺,單價每平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位移轉總面積平方公尺,車位總價元,屋齡,建築完成年,交易年,總價元,中山區,中正區,信義區,內湖區,北投區,南港區,士林區,大同區,大安區,文山區,松山區,萬華區
信義區,27.25,66.81,211046,3,2,2,0,0,43,63,106,1410,0,0,1,0,0,0,0,0,0,0,0,0
松山區,9.44,56.87,191314,2,1,1,0,0,35,71,106,1088,0,0,0,0,0,0,0,0,0,0,1,0
南港區,28.59,260.18,140216,3,2,2,35.92,0,5,101,106,3648,0,0,0,0,0,1,0,0,0,0,0,0
信義區,26.94,101.61,118099,3,2,2,0,0,26,80,106,1200,0,0,1,0,0,0,0,0,0,0,0,0
信義區,5.39,37.64,310308,2,1,1,0,0,12,94,106,1168,0,0,1,0,0,0,0,0,0,0,0,0
信義區,20.17,46.87,185620,2,2,2,0,0,44,62,106,870,0,0,1,0,0,0,0,0,0,0,0,0
中正區,3.21,42.09,270373,1,1,1,0,0,8,98,106,1138,0,1,0,0,0,0,0,0,0,0,0,0
文山區,25.1,83.08,211001,2,2,1,0,0,6,100,106,1753,0,0,0,0,0,0,0,0,0,1,0,0
中正區,15.05,119.47,226515,3,2,1,17.49,2200000,5,101,106,2530,0,1,0,0,0,0,0,0,0,0,0,0
中山區,14.81,92.92,236763,5,2,2,0,0,29,77,106,2200,1,0,0,0,0,0,0,0,0,0,0,0
內湖區,119.53,255.85,175884,4,3,3,0,0,18,88,106,4500,0,0,0,1,0,0,0,0,0,0,0,0
大安區,12.98,154.99,230983,3,2,2,23.47,0,9,97,106,3580,0,0,0,0,0,0,0,0,1,0,0,0
大安區,12.99,66.59,186514,2,1,1,0,0,36,70,106,1242,0,0,0,0,0,0,0,0,1,0,0,0
內湖區,27.85,159.99,190032,3,2,2,40.01,2500000,23,83,106,2530,0,0,0,1,0,0,0,0,0,0,0,0
中正區,29.38,248.37,199773,4,2,2,35.9,0,5,101,106,4961.7618,0,1,0,0,0,0,0,0,0,0,0,0
中正區,8.33,88.71,163454,2,1,1,0,0,36,70,106,1450,0,1,0,0,0,0,0,0,0,0,0,0
